#Table: J/A+A/640/A36/tablea2.dat (http://cdsarc.cds.unistra.fr)
-----------------------------------------------------------------------------------
C|           |         |        |     |       |       |       |       |      |
a|           |         |        |  e_a|       |      e|       |       |      |
3|HD 156738  |195288472| 350.922|0.032|4.38608|0.00054|2.42795|0.00045| 9.671|0.005
3|HD 36861   |436103278| 330.703|0.064|2.05434|0.00077|1.39102|0.00030| 1.453|0.002
3|HD 150574  |234648113|1156.742|0.049|2.47023|0.00017|1.92152|0.00014|14.547|0.005
3|HD 152247  |339570292| 661.325|0.043|2.75008|0.00027|2.14782|0.00024|10.339|0.004
3|HD 55879   |178489528| 191.802|0.063|1.71966|0.00108|1.42054|0.00056| 3.195|0.002
3|HD 154643  | 43284243| 495.620|0.061|1.83226|0.00041|1.48131|0.00021| 5.148|0.002
4|CPD-47 2963| 30653985| 705.866|0.043|2.53356|0.00019|2.91261|0.00047| 6.488|0.004
4|HD 156154  |152659955|1911.500|0.056|1.76469|0.00008|1.96280|0.00009|13.637|0.004
4|HD 112244  |406050497|4203.703|0.090|0.91870|0.00003|1.93925|0.00006|19.509|0.004
4|HD 151804  |337793038|3642.777|0.055|0.93978|0.00001|4.26287|0.00024|36.297|0.004
4|HD 303492  |459532732|3447.949|0.057|0.85247|0.00001|4.45373|0.00027|11.850|0.002
4|HD 57061   |106347931|1261.169|0.078|1.41680|0.00014|1.84189|0.00017| 3.970|0.005
4|HD 152249  |339567904|2144.886|0.044|1.76168|0.00005|2.94309|0.00015|27.729|0.004
4|HD 152424  |247267245|5315.488|0.059|0.95329|0.00001|3.42169|0.00011|38.442|0.004
4|HD 154368  | 41792209|1971.732|0.037|1.85794|0.00004|4.70571|0.00034|24.824|0.004
4|HD 152003  |338640317|4459.742|0.090|0.92626|0.00003|1.76747|0.00005|18.221|0.004
4|HD 152147  |246953610|3879.566|0.060|1.13960|0.00002|2.43834|0.00008|27.977|0.004
5|HD 36960   |427373484|  30.868|0.047|1.83618|0.00375|2.46009|0.00780| 3.814|0.004
5|HD 37042   |427395058|  57.494|0.066|1.20717|0.00210|1.84494|0.00334| 9.116|0.004
5|HD 43112   |434384707|   6.269|0.117|0.76982|0.03045|1.16679|0.02216| 3.770|0.006
5|HD 35912   |464839773| 241.602|0.048|2.08064|0.00049|3.01021|0.00161| 5.396|0.005
5|HD 48977   |202148345| 311.431|0.066|1.46731|0.00043|2.33096|0.00098| 4.565|0.005
6|HD 34816   |442871031|  61.383|0.114|0.66173|0.00244|1.34255|0.00275| 1.445|0.005
6|HD 46328   | 47763235|  54.479|0.112|1.08885|0.00425|1.34896|0.00326| 3.490|0.007
6|HD 50707   | 78897024| 132.110|0.035|4.27661|0.00197|1.75206|0.00061| 2.889|0.002
6|HD 37481   |332913301|  26.284|0.061|1.23368|0.00330|3.20558|0.03687| 3.132|0.005
6|HD 37209   |388935529|  26.461|0.097|0.82600|0.00426|2.35097|0.02790| 3.195|0.005
6|HD 26912   |283793973| 299.788|0.061|1.15152|0.00028|3.05793|0.00195| 3.078|0.004
6|HD 37711   | 59215060| 916.636|0.058|0.86817|0.00006|3.34037|0.00062| 9.476|0.004
6|HD 57539   | 10176636| 154.777|0.044|2.60349|0.00099|3.06784|0.00251| 5.565|0.004
6|HD 41753   |151464886| 302.331|0.048|1.27728|0.00023|3.47522|0.00175|12.424|0.004
6|HD 224990  |313934087|  23.296|0.065|1.57162|0.00700|2.09149|0.00988| 2.084|0.004
7|HD 48434   |234052684|1647.090|0.063|1.47146|0.00009|2.00588|0.00013| 8.813|0.004
7|HD 61068   |349043273| 198.120|0.090|1.36075|0.00121|1.35714|0.00076| 5.256|0.007
7|HD 35468   |365572007|  86.576|0.078|0.80155|0.00110|1.95155|0.00305| 1.895|0.004
8|HD 44743   | 34590771| 133.771|0.080|1.96975|0.00220|1.35040|0.00106| 8.802|0.008
8|HD 54764   | 95513457|1949.927|0.070|0.96136|0.00005|2.04624|0.00014|10.902|0.004
8|HD 52089   | 63198307| 222.135|0.069|1.30671|0.00070|1.63586|0.00065| 2.109|0.002
8|HD 51309   |146908355|1572.988|0.087|0.66617|0.00006|2.15494|0.00023| 5.917|0.002
8|HD 46769   |281148636|   6.763|0.056|1.02897|0.01017|2.76723|0.07812| 3.139|0.004
8|HD 27563   | 37777866| 264.680|0.059|0.97211|0.00025|3.49058|0.00231| 3.479|0.004
8|HD 53244   |148109427|  10.428|0.065|0.79102|0.00547|3.30717|0.06935| 1.444|0.004
8|HD 37128   |427451176|2562.785|0.069|0.87736|0.00003|2.28089|0.00012|19.682|0.004
8|HD 38771   | 66651575|1159.940|0.083|0.87575|0.00010|1.91176|0.00022| 8.819|0.004
8|HD 53138   | 80466973|1313.016|0.108|0.44918|0.00005|2.39756|0.00043| 5.089|0.002
8|HD 39985   |102281507|   8.600|0.081|1.02655|0.01553|1.82852|0.03437| 3.579|0.005
9|HD 37061   |427393920|  34.886|0.068|1.64256|0.00459|2.41671|0.01151| 3.237|0.005
9|HD 37742   | 11360636| 829.560|0.070|1.41864|0.00016|2.41592|0.00042| 7.544|0.005
9|HD 57682   |187458882| 159.073|0.095|1.11609|0.00138|1.16316|0.00080| 3.029|0.007
9|HD 54879   |177860391|  32.960|0.052|1.26842|0.00235|3.41894|0.01621| 5.871|0.004
-----------------------------------------------------------------------------------
